UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,RUL_synthetic,power,S_PWF_soft,S_PWF_hard,S_HDF,S_OSF,S_TWF_extra,S_RNF,RUL_base
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,238.22424607024865,6951.590560157351,0.0,0.0,0.0,0.0,4.587181725605271e-08,0.0,240.0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,240.0,6826.722724152667,0.0,0.0,0.0,0.0,6.192047644322563e-08,0.0,237.0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,228.95806542361976,7749.387542560967,0.0,0.0,0.0,0.0,7.562984061066411e-08,0.0,235.0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,231.08542979440875,5927.504658915661,0.0,0.0,0.0,0.0,9.23744957664012e-08,0.0,233.0
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,228.47257411680957,5897.816608339237,0.0,0.0,0.0,0.0,1.1282646368198494e-07,0.0,231.0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,234.5233241704426,6252.554778807084,0.0,0.0,0.0,0.0,1.3780655359039253e-07,0.0,229.0
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,218.31480082701154,6917.703247400629,0.0,0.0,0.0,0.0,1.8601938920883375e-07,0.0,226.0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,220.3351119680781,6428.264055922363,0.0,0.0,0.0,0.0,2.2720459411519265e-07,0.0,224.0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,215.13791675330577,4992.639989035923,0.0,0.0,0.0,0.0,2.775083165229879e-07,0.0,222.0
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,218.13432180346115,5104.878622573175,0.0,0.0,0.0,0.0,3.7459704159722964e-07,0.0,219.0
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,215.33763843377818,4459.993426595285,0.0,0.0,0.0,0.0,5.056531092650442e-07,0.0,216.0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,213.5120807156647,6601.41817101272,0.0,0.0,0.0,0.0,8.336810094938689e-07,0.0,211.0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,195.27164468721998,7165.22933257697,0.0,0.0,0.02188127093613046,0.0,1.3745075389942726e-06,0.0,206.0
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,205.18789466162772,5472.6544025534195,0.0,0.0,0.0,0.0,1.8553910183683313e-06,0.0,203.0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,215.0760820565882,4176.85215270275,0.0,0.0,0.0,0.0,2.5045157450675485e-06,0.0,200.0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,197.73361410306887,7815.528539894543,0.0,0.0,0.0,0.0,3.059022269256247e-06,0.0,198.0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,196.1461131086292,6397.602111623327,0.0,0.0,0.01798620996209275,0.0,3.736297983892476e-06,0.0,196.0
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,190.2832888810786,6733.0613751736455,0.0,0.0,0.0,0.0,5.043474082014516e-06,0.0,193.0
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,192.08546892483795,7453.6380101520235,0.0,0.0,0.026596993576867015,0.0,6.807976709118488e-06,0.0,190.0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,178.35888828990738,5554.3358115467545,0.0,0.0,0.0,0.0,1.1224451053499136e-05,0.0,185.0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,167.12195726756858,6148.3586224630235,0.0,0.0,0.02659699357686407,0.0,1.5151418164850468e-05,0.0,182.0
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,168.3936627011847,6802.595292573099,0.0,0.0,0.0,0.0,2.4980440856267932e-05,0.0,177.0
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,184.45748970732868,5082.7513383163905,0.0,0.0,0.0,0.0,3.0511162486976497e-05,0.0,175.0
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,173.6977394038975,4731.3013681593,0.0,0.0,0.0,0.0,4.1185717448326286e-05,0.0,172.0
